Year,Length,Title,Subject
1940,90,June Night,Drama
1961,120,Goodbye Again,Drama
1956,106,Anastasia,Drama
1945,126,Bells of St. Mary's_ The,Drama
1937,91,Intermezzo,Drama
1938,104,A Woman's Face,Drama
1935,90,Swedenhielms,Drama
1939,87,Only One Night,Drama
1938,74,Dollar,Drama
1956,98,Elena & Her Men,Drama
1952,110,Europa Fifty-One,Drama
1953,83,Voyage in Italy,Drama
1954,81,Fear,Drama
1950,107,Stromboli,Drama
1969,103,Cactus Flower,Comedy
1989,105,Hideaways,Comedy
1990,90,Twenty Four Hours in a Woman's Life,Drama
1987,91,Programmed to Kill,Action
1982,128,Conan the Barbarian,Action
1991,91,Raw Nerve,Mystery
1970,94,Think Dirty,Comedy
1982,108,King of Comedy,Drama
1983,60,Best of the Big Laff Off_ The,Comedy
1984,158,Amadeus,Drama
1973,101,White Lightning,Action
1988,172,Unbearable Lightness of Being_ The,Drama
1972,124,Life & Times of Judge Roy Bean_ The,Western
1970,137,Airport,Drama
1973,116,Day for Night,Drama
1952,107,Secrets of Women,Comedy
1976,116,Burnt Offerings,Horror
1969,94,Easy Rider,Drama
1991,98,Five Easy Pieces,Drama
1974,144,Day of the Locust_ The,Drama
1964,112,Goldfinger,Action
1977,117,Exorcist II_ The Heretic,Horror
1953,61,White Lightning,Unknown
1942,88,Lady for a Night,Drama
1968,103,Charly,Drama
1973,105,High Plains Drifter,Western
1982,123,Honkytonk Man,Drama
1990,102,Nightbreed,Horror
1987,98,Under the Sun of Satan,Drama
1985,105,Vagabond,Drama
1993,60,Bill Cosby_ Live at Harrah's,Comedy
1974,89,Monty Python & the Holy Grail,Comedy
1993,65,John Cleese on How to Irritate People,Comedy
1958,101,Matchmaker_ The,Comedy
1981,129,For Your Eyes Only,Action
1928,139,Wings,War
1992,106,Medicine Man,Action
1989,131,Good Fellas,Drama
1985,119,Kiss of the Spider Woman,Drama
1990,121,Rookie_ THe,Action
1973,129,Sting_ The,Drama
1958,96,Torpedo Run,War
1986,101,Instant Justice,Drama
1990,135,Cyrano de Bergerac,Drama
1948,110,Border Street,Drama
1987,91,Firehouse,Comedy
1965,123,Morituri,Drama
1980,104,From the Life of the Marionettes,Drama
1988,120,Frantic,Mystery
1978,114,Coma,Science Fiction
1988,117,Dead Ringers,Drama
1988,90,Golden Ninja Invasion,Action
1973,122,Exorcist_ The,Horror
1975,112,Alice Doesn't Live Here Anymore,Comedy
1982,94,Eyes of the Amaryllis_ The,Drama
1952,109,What Price Glory?,War
1954,40,Inauguration of the Pleasure Dome,Short
1989,114,School Daze,Comedy
1990,102,End of Innocence_ The,Drama
1971,98,Anderson Tapes_ The,Mystery
1983,50,Father Murphy_ A Horse from Heaven,Comedy
1989,80,Skull,Drama
1987,91,Quick & The Dead_ The,Western
1984,94,Best Defense,Comedy
1984,99,Dreamscape,Science Fiction
1989,125,Black Rain,Action
1963,138,8 1/2,Drama
1935,64,One Frightened Night,Horror
1988,103,Year My Voice Broke_ The,Drama
1966,175,Is Paris Burning?,War
1974,313,QB VII,Drama
1977,104,Island of Dr. Moreau_ The,Horror
1983,104,Beyond the Limit,Drama
1936,84,Secret Agent,Mystery
1986,71,Paramount Comedy Theater: Well-Developed,Comedy
1972,71,Big Bust Out_ The,Action
1987,119,Fourth Protocol_ The,Mystery
1990,107,Gremlins 2: The New Batch,Comedy
1982,92,Fast Times at Ridgemont High,Comedy
1987,131,Mannequin,Comedy
1977,91,Rabid,Horror
1990,131,Party_ The,Comedy
1989,90,Vampire Raiders_ Ninja Queen,Action
1970,26,Bloopers from Star Trek,Comedy
1943,99,Destroyer,Action
1992,99,Party Girl,Comedy
1989,113,Twin Peaks,Mystery
1987,103,Moonstruck,Comedy
1987,119,Witches of Eastwick_ The,Comedy
1979,128,Moonraker,Action
1984,106,Beat Street,Drama
1986,88,Running Out of Luck,Comedy
1989,90,Never on Tuesday,Drama
1975,109,Shampoo,Comedy
1985,111,Power,Drama
1965,122,Darling,Drama
1963,120,Ugly American_ The,Drama
1931,68,Ambassador Bill,Comedy
1931,110,Big Trail_ The,Western
1967,111,Hombre,Western
1968,103,Coogan's Bluff,Action
1989,91,Penn & Teller Get Killed,Comedy
1987,118,Shy People,Drama
1980,91,It's My Turn,Comedy
1988,119,Dangerous Liaisons,Drama
1990,111,Reversal of Fortune,Drama
1991,119,Meeting Venus,Comedy
1946,105,Tomorrow Is Forever,Drama
1987,101,Like Father Like Son,Comedy
1948,81,Rope,Drama
1962,91,Road to Hong Kong,Comedy
1989,108,Shirley Valentine,Comedy
1992,135,City of Joy,Drama
1966,99,Appaloosa_ The,Western
1986,88,Seven Minutes in Heaven,Comedy
1991,96,Hearts of Darkness_ A Filmmaker's Apocalypse,Drama
1961,66,Tonight for Sure,Comedy
1990,110,White Hunter_ Black Heart,Adventure
1962,110,Sundays & Cybele,Drama
1989,90,Puppet Master,Science Fiction
1991,95,Night Gallery,Horror
1989,103,Pet Sematary,Horror
1992,60,America's Music_ Gospel,Music
1977,123,Slap Shot,Comedy
1987,109,O. C. & Stiggs,Comedy
1988,108,A Fish Called Wanda,Comedy
1954,96,A Lesson in Love,Comedy
1957,82,Brink of Life,Drama
1986,120,Betty Blue,Drama
1979,122,Hair,Music
1989,97,National Lampoon's Christmas Vacation,Comedy
1974,124,Dersu Uzala_ (The Hunter),Adventure
1990,106,Alice,Comedy
1980,90,Fifth Floor_ The,Mystery
1990,94,Snow Kill,Drama
1971,74,People_ The,Drama
1969,128,True Grit,Western
1942,18,Battle of Midway_ The,War
1948,103,Three Godfathers,Western
1965,133,Hush_ Hush_ Sweet Charlotte,Mystery
1946,110,A Stolen Life,Drama
1939,96,Old Maid_ The,Drama
1950,138,All about Eve,Drama
1986,96,Fly_ The,Horror
1990,89,Quick Change,Comedy
1988,93,Lair of the White Worm_ The,Horror
1989,104,Rainbow_ The,Drama
1956,120,Man Who Knew Too Much_ The,Mystery
1992,90,Beauty & the Beast,Science Fiction
1940,120,Foreign Correspondent,Mystery
1949,115,Heiress_ The,Drama
1986,120,Boy Who Could Fly_ The,Drama
1975,89,Terrorists_ The,Action
1942,85,Wheel of Fortune,Drama
1989,120,Do the Right Thing,Drama
1990,93,Court-Martial of Jackie Robinson_ The,Drama
1967,90,Elvira Madigan,Drama
1992,86,Hurricane Smith,Action
1987,86,Fair Game,Action
1989,95,Rape of the Sabines_ The,Action
1983,99,Risky Business,Comedy
1980,103,I Love All of You (Je Vous Aime),Drama
1986,108,Love Songs,Drama
1983,114,Le Choix des Armes,Mystery
1981,135,Choice of Arms,Action
1977,107,March or Die,War
1980,135,Last Metro_ The,Drama
1986,120,Jean de Florette,Drama
1989,127,Fat Man & Little Boy,Drama
1990,125,Wild at Heart,Drama
1989,113,Family Business,Action
1988,103,Stand & Deliver,Drama
1981,94,Looker,Science Fiction
1989,89,Fire & Rain,Action
1990,56,Best of Candid Camera_ The,Comedy
1940,83,Seven Sinners,Drama
1961,190,Judgment at Nuremberg,Drama
1989,60,Minsky's Follies,Comedy
1990,97,Novice_ The,Comedy
1987,130,Wings of Desire,Drama
1991,158,Until the End of the World,Drama
1987,118,Castaway,Drama
1993,30,Alfred Hitchcock Presents_ Sorcerer's Apprentice,Mystery
1991,99,Delicatessen,Comedy
1979,110,Great Train Robbery_ The,Mystery
1991,110,Hanover Street,Drama
1991,102,Hunchback,Drama
1946,97,My Darling Clementine,Western
1950,86,Wagon Master,Western
1949,93,She Wore a Yellow Ribbon,Western
1985,90,Fantasy Man,Comedy
1986,87,Monster in the Closet,Comedy
1992,85,Double Edge,Drama
1976,116,Network,Comedy
1974,131,Chinatown,Drama
1975,117,Three Days of the Condor,Drama
1977,134,Voyage of the Damned,Drama
1987,97,Barfly,Drama
1990,104,Wait Until Spring_ Bandini,Drama
1947,118,Life with Father,Comedy
1943,131,A Guy Named Joe,Drama
1974,117,Stavisky,Drama
1981,117,Time Bandits,Comedy
1980,144,Shining_ The,Horror
1945,91,Flame of Barbary Coast,Western
1993,92,Naked Truth_ The,Comedy
1979,92,Brood_ The,Horror
1970,123,Molly Maguires_ The,Action
1984,105,Beverly Hills Cop,Comedy
1991,86,Blind Man's Bluff,Mystery
1961,140,La Dolce Vita,Drama
1966,103,After the Fox,Comedy
1974,127,Man with the Golden Gun_ The,Action
1985,96,Marbella,Action
1967,103,Bobo_ The,Comedy
1993,53,Big Bands_ The,Music
1992,97,Killer Image.,Mystery
1987,94,Kandyland,Drama
1987,94,Campus Man,Drama
1956,101,Jubal,Drama
1985,84,Purple Rose of Cairo_ The,Comedy
1984,85,Broadway Danny Rose,Comedy
1992,108,Husbands & Wives,Comedy
1986,103,Hannah & Her Sisters,Comedy
1979,115,Hurricane,Action
1986,95,Between Two Women,Drama
1981,96,Cannonball Run_ The,Comedy
1936,70,Doughnuts & Society,Comedy
1978,450,Holocaust,Drama
1990,103,Meridian,Science Fiction
1992,90,Diary of a Hitman,Drama
1988,95,Gor,Action
1987,95,Surrender,Comedy
1984,112,Places in the Heart,Drama
1991,106,Not Without My Daughter,Drama
1977,113,Heroes,Drama
1981,116,Absence of Malice,Drama
1979,110,Norma Rae,Drama
1989,118,Steel Magnolias,Drama
1989,101,Burbs_ The,Comedy
1980,124,Empire Strikes Back_ The,Science Fiction
1977,121,Star Wars,Science Fiction
1983,132,Return of the Jedi,Science Fiction
1991,104,Hear My Song,Drama
1956,99,Slightly Scarlet,Action
1957,120,Gunfight at the OK Corral,Western
1931,131,Range Feud_ The,Western
1990,89,Bloodsucking Pharaohs in Pittsburgh,Comedy
1972,129,Roma,Drama
1979,122,China Syndrome_ The,Drama
1986,100,Morning After_ The,Mystery
1971,114,Klute,Drama
1979,113,Electric Horseman_ The,Comedy
1965,97,Cat Ballou,Comedy
1991,131,Coming Home,Drama
1940,130,Rebecca,Drama
1944,96,Jane Eyre,Drama
1973,87,Stacey!,Action
1992,85,Naked Obsession,Mystery
1989,83,Stripped to Kill II_ Live Girls,Mystery
1990,94,Rain Killer_ The,Mystery
1983,95,Valley Girl,Comedy
1991,118,Silence of the Lambs_ The,Mystery
1988,98,Stealing Home,Drama
1972,92,Napoleon & Samantha,Comedy
1988,131,Five Corners,Drama
1955,131,Blackboard Jungle_ The,Drama
1989,103,My Left Foot,Drama
1987,92,Back to the Beach,Comedy
1934,85,Painted Veil_ The,Drama
1931,74,Inspiration,Drama
1930,92,Anna Christie,Drama
1926,109,Flesh & the Devil_ The,Drama
1928,90,Woman of Affairs,Drama
1935,96,Anna Karenina,Drama
1936,110,Camille,Drama
1931,91,Mata Hari,Drama
1929,100,Wild Orchids,Drama
1932,112,Grand Hotel,Drama
1931,84,Susan Lennox_ Her Fall & Rise,Drama
1939,108,Ninotchka,Comedy
1933,97,Queen Christina,Drama
1928,96,Mysterious Lady_ The,Drama
1925,125,Joyless Street,Drama
1929,74,Single Standard_ The,Drama
1932,71,As You Desire Me,Drama
1930,76,Romance,Drama
1962,105,A Child Is Waiting,Drama
1982,116,Tootsie,Comedy
1989,86,Let It Ride,Comedy
1953,120,Julius Caesar,Drama
1979,120,Nineteen Forty-One,Comedy
1975,124,Jaws,Action
1987,93,Hot Pursuit,Drama
1989,120,Triumph of the Spirit,Drama
1975,111,Brannigan,Drama
1979,89,Buffet Froid,Comedy
1986,122,Salvador,Drama
1959,102,Horse Soldiers_ The,Western
1954,108,Long John Silver,Action
1961,134,Hustler_ The,Drama
1983,109,Star Chamber_ The,Drama
1988,100,Clara's Heart,Drama
1987,102,Burglar,Comedy
1986,120,Comic Relief,Comedy
1978,117,Bloodbrothers,Drama
1988,134,Rain Man,Drama
1966,95,Masculine Feminine,Drama
1964,51,Outer Limits_ The,Science Fiction
1988,131,Mama's Dirty Girls,Horror
1979,180,Last Ride of the Dalton Gang_ The,Western
1991,131,Why Me?,Comedy
1932,66,Number Seventeen,Crime
1986,120,Manhunter,Drama
1990,126,Bonfire of the Vanities_ The,Drama
1988,115,Working Girl,Comedy
1992,133,Shining Through,Mystery
1991,76,Slumber Party Massacre III,Horror
1988,99,Tokyo Pop,Comedy
1991,136,Terminator 2,Action
1984,108,Terminator_ The,Action
1986,105,King Kong Lives!,Action
1969,125,Those Daring Young Men in Their Jaunty,Comedy
1991,186,At Play in the Fields of the Lord,Drama
1990,131,Crazy People,Comedy
1992,99,Memoirs of an Invisible Man,Comedy
1985,100,Clan of the Cave Bear_ The,Drama
1983,82,Final Terror_ The,Horror
1984,93,Reckless,Drama
1989,131,High Spirits,Comedy
1987,107,Roxanne,Comedy
1982,117,Blade Runner,Action
1987,126,Wall Street,Drama
1992,111,Pope of Greenwich Village,Drama
1989,89,After School,Drama
1938,298,Flaming Frontiers,Western
1936,89,Libeled Lady,Comedy
1976,99,Inserts,Drama
1988,88,Blue Iguana_ The,Drama
1983,93,Tender Mercies,Drama
1987,96,Nights in White Satin,Drama
1989,87,Videodrome,Horror
1991,96,Intimate Stranger,Mystery
1986,110,Highlander,Science Fiction
1987,93,Bodycount,Action
1989,104,Tango & Cash,Action
1970,94,There's a Girl in My Soup,Comedy
1984,100,Swing Shift,Drama
1978,112,Foul Play,Comedy
1982,109,Best Friends,Comedy
1972,109,Butterflies Are Free,Drama
1987,112,Overboard,Comedy
1974,103,Girl from Petrovka_ The,Drama
1992,102,Housesitter,Comedy
1986,106,Wildcats,Comedy
1984,100,Protocol,Comedy
1980,102,Seems Like Old Times,Comedy
1974,109,Sugarland Express_ The,Drama
1980,110,Private Benjamin,Comedy
1991,115,Deceived,Mystery
1931,95,Arrowsmith,Drama
1972,78,Say Goodbye Maggie Cole,Drama
1964,132,Circus World,Drama
1952,98,Affair in Trinidad,Drama
1948,87,Lady from Shanghai,Mystery
1940,81,Lady in Question,Drama
1946,110,Gilda,Drama
1948,98,Loves of Carmen_ The,Drama
1990,105,Dick Tracy,Comedy
1964,130,Marnie,Drama
1987,85,Hot Child in the City,Mystery
1984,90,Johnny Dangerously,Comedy
1985,95,Stark,Mystery
1949,84,Three Strange Loves,Drama
1964,170,My Fair Lady,Music
1960,123,Unforgiven_ The,Drama
1976,106,Robin & Marian,Action
1961,109,Children's Hour_ The,Drama
1956,121,Rainmaker_ The,Drama
1952,95,Pat & Mike,Comedy
1968,134,Lion in Winter_ THe,Drama
1991,132,Sea of Grass_ The,Western
1967,108,Guess Who's Coming to Dinner,Drama
1957,153,Desk Set,Comedy
1975,107,Rooster Cogburn,Western
1981,109,On Golden Pond,Drama
1991,101,Adam's Rib,Comedy
1991,116,Boom Town,Drama
1991,145,Dragon Seed,Drama
1991,115,Little Women,Drama
1991,113,Philadelphia Story_ The,Comedy
1991,112,Without Love,Comedy
1991,113,Woman of the Year,Comedy
1992,95,Juice,Drama
1986,114,Hoosiers,Drama
1987,112,Tin Men,Comedy
1988,163,Last Temptation of Christ_ The,Drama
1991,99,Paris Trout,Drama
1988,87,Souvenir,Drama
1966,120,A Man for All Seasons,Drama
1986,90,Knights & Emeralds,Drama
1989,83,Masque of the Red Death,Horror
1943,265,Adventures of Smilin' Jack_ The,Mystery
1992,88,Adventures in Dinosaur City,Action
1987,95,Allnighter_ The,Comedy
1980,99,Caddyshack,Comedy
1973,102,Tom Sawyer,Music
1987,94,Rita_ Sue & Bob Too,Comedy
1947,56,Hawk of Powder River,Western
1928,148,Tempest,Drama
1986,90,Running Mates,Drama
1987,105,Prettykill,Drama
1934,80,Judge Priest,Drama
1950,104,Harvey,Comedy
1991,89,If Looks Could Kill,Action
1987,94,Raising Arizona,Comedy
1989,114,Once Around,Comedy
1980,110,Loulou,Drama
1982,136,World According to Garp_ The,Drama
1980,106,Virus,Science Fiction
1940,127,Northwest Passage,Action
1987,112,Gardens of Stone,Drama
1989,121,Enemies_ a Love Story,Drama
1992,102,Addams Family_ The,Comedy
1932,65,Freaks,Horror
1991,108,Necessary Roughness,Comedy
1990,93,A Show of Force,Drama
1980,129,Competition_ The,Drama
1988,97,Crossing Delancey,Comedy
1982,120,State of Things_ The,Drama
1987,89,Business As Usual,Comedy
1973,103,A Touch of Class,Comedy
1970,129,Women in Love.,Drama
1988,89,Salome's Last Dance,Comedy
1986,100,Casino,Mystery
1955,108,Smiles of a Summer Night,Comedy
1989,90,New Year's Day,Comedy
1981,132,Mephisto,Drama
1927,60,Easy Virtue,Mystery
1937,59,Swing It Sailor!,Comedy
1991,83,Strictly Business,Comedy
1983,90,Blame It on Rio,Comedy
1987,86,Straight to Hell,Action
1990,131,A View to a Kill,Action
1986,100,American Anthem,Drama
1963,99,Bedtime Story,Comedy
1991,117,Courtship of Eddie's Father_ The,Comedy
1988,102,Night Train to Katmandu_ THe,Action
1948,100,Port of Call,Drama
1973,103,Paper Moon,Comedy
1983,97,Yellowbeard,Comedy
1975,91,Adventures of Sherlock Holmes' Smarter,Comedy
1990,108,Flashback,Comedy
1977,89,World's Greatest Lover_ The,Comedy
1955,67,Killer's Kiss,Mystery
1988,103,Deceivers_ The,Action
1983,97,Breathless,Action
1989,145,Born on the Fourth of July,Drama
1991,120,Awakenings,Drama
1977,94,Annie Hall,Comedy
1979,96,Manhattan,Comedy
1981,195,Reds,Drama
1986,105,Crimes of the Heart,Comedy
1977,136,Looking for Mr. Goodbar,Drama
1972,175,Godfather_ The,Drama
1974,201,Godfather_ Pt 2._ The,Drama
1976,109,I Will_ I Will...For Now,Comedy
1972,86,Play It Again_ Sam,Comedy
1975,82,Love & Death,Comedy
1973,88,Sleeper,Comedy
1970,130,Fellini Satyricon,Drama
1980,117,Formula_ The,Mystery
1977,143,Black Sunday,Drama
1977,124,Bobby Deerfield,Drama
1972,98,Last of the Red Hot Lovers,Comedy
1953,116,Mogambo,Action
1955,103,To Catch a Thief,Mystery
1954,113,Rear Window,Mystery
1945,69,Woman Who Came Back,Drama
1939,101,Stanley & Livingstone,Action
1956,129,Bad Seed_ The,Horror
1989,113,Lethal Weapon 2,Action
1992,79,Blame It on the Bellboy,Comedy
1927,62,Drop Kick_ The,Drama
1978,145,Superman_ The Movie,Action
1987,90,Superman IV: The Quest for Peace,Action
1970,90,Quackser Fortune Has a Cousin in the Bronx,Comedy
1989,96,Dead Calm,Mystery
1990,107,Days of Thunder,Action
1987,101,My Life As a Dog,Comedy
1983,131,Moon in the Gutter_ The,Action
1984,150,Paris_ Texas,Drama
1984,96,Unfaithfully Yours,Comedy
1987,95,Bullseye!,Comedy
1989,104,Erik the Viking,Action
1987,90,Dragonard,Drama
1986,90,Hard Choices,Drama
1969,102,Rain People_ The,Drama
1984,106,A Year of the Quiet Sun,Drama
1935,54,Desert Trail_ The,Western
1990,98,Almost an Angel,Comedy
1986,98,Crocodile Dundee,Comedy
1977,127,American Friend_ The,Mystery
1989,119,See You in the Morning,Drama
1987,88,Arrogant_ The,Drama
1989,86,Dracula's Widow,Horror
1987,90,Ninja Masters of Death,Action
1990,110,Mystery Train,Comedy
1978,114,Go Tell the Spartans,War
1986,89,True Stories,Comedy
1953,94,Ugetsu Monogatari,Drama
1969,80,Rebel Rousers,Action
1988,98,Plain Clothes,Comedy
1981,119,Whose Life Is It_ Anyway?,Drama
1988,116,Running on Empty,Drama
1990,101,Funny about Love,Comedy
1985,118,A Chorus Line_ The Movie,Music
1986,84,Stewardess School,Comedy
1987,109,Big Town_ The,Drama
1983,94,Rumble Fish,Drama
1983,91,Outsiders_ The,Drama
1990,94,Priceless Beauty,Science Fiction
1989,93,Streets of Fire,Action
1990,115,Men Don't Leave,Drama
1988,127,Everybody's All American,Romance
1992,128,Cape Fear,Mystery
1992,121,Postman Always Rings Twice_ The,Mystery
1949,58,Crashing Thru,Western
1978,109,Get Out Your Handkerchiefs,Comedy
1971,137,Boy Friend_ THe,Music
1990,100,Hard To Kill,Action
1960,109,Psycho,Horror
1957,112,Jet Pilot,Action
1987,95,Under Cover,Mystery
1951,122,A Streetcar Named Desire,Drama
1986,93,Golden Child_ The,Comedy
1971,84,Statue_ The,Drama
1985,128,Christopher Columbus,Drama
1989,116,In Country,Drama
1978,132,Wild Geese_ The,Action
1974,90,Second Coming of Suzanne._ The,Drama
1980,116,Bronco Billy,Westerns
1977,109,Gauntlet_ The,Action
1986,105,Ratboy,Drama
1938,96,Lady Vanishes,Mystery
1987,95,Kitchen Toto_ THe,Drama
1959,88,Carlton-Browne of the F.O.,Comedy
1929,68,Racketeer,Drama
1941,95,Mr. & Mrs. Smith,Comedy
1986,132,Alrededor de Medianoche,Drama
1982,101,Losin' It,Comedy
1987,114,Into the Homeland,Action
1991,60,Boxing Babes,Action
1991,94,Shock 'em Dead,Horror
1960,101,Heller in Pink Tights,Drama
1961,100,Two Women,Drama
1954,107,Gold of Naples_ The,Drama
1963,118,Yesterday_ Today & Tomorrow,Comedy
1957,109,Legend of the Lost,Action
1978,111,Brass Target,Action
1964,188,Fall of the Roman Empire_ The,Drama
1961,172,El Cid,Drama
1958,114,Desire under the Elms,Drama
1953,92,Two Nights with Cleo,Drama
1959,131,Black Orchid_ The,Drama
1977,91,Angela,Drama
1977,105,A Special Day,Drama
1979,112,Blood Feud,Action
1991,145,Sophia Loren_ Her Own Story,Drama
1990,131,Running Away,Drama
1991,130,Man of La Mancha,Music
1992,116,Operation Crossbow,Action
1986,141,Courage,Drama
1986,94,RAD,Action
1992,98,Secret Admirer,Comedy
1979,85,Cocaine Cowboys,Action
1991,118,Test Pilot,Drama
1943,64,Ape Man_ The,Horror
1986,125,Mission_ The,Drama
1991,102,Curly Sue,Comedy
1962,150,Lolita,Drama
1989,101,Sex_ Lies_ and Videotape,Drama
1990,107,Green Card,Comedy
1988,95,Gator Bait II,Action
1979,129,Being There,Comedy
1983,132,Terms of Endearment,Drama
1967,99,Woman Times Seven,Comedy
1968,131,Bliss of Mrs. Blossom_ The,Comedy
1990,101,Postcards from the Edge,Comedy
1970,105,Two Mules for Sister Sara,Western
1992,84,Dragonfight,Drama
1939,85,Back Door to Heaven,Drama
1988,100,Ciao Italia_ Madonna Live from Italy,Music
1991,118,Madonna_ Truth or Dare,Music
1992,60,A Certain Sacrifice,Music
1991,40,National Enquirer_ The Untold Story,Music
1990,60,Immaculate Collection_ The,Music
1987,50,Madonna Live_ The Virgin Tour,Music
1990,5,Madonna_ Justify My Love,Music
1991,16,Madonna_ Like a Virgin,Music
